,0
матч,197
«карпати»,191
«динамо»,165
матчі,164
клуб,157
клубу,136
команди,132
ліги,126
світу,124
спорту,124
каже,94
«рух»,90
чемпіонаті,87
команда,79
«шахтар»,77
збірної,75
«львів»,71
воріт,70
м’яч,67
збірна,66
хвилині,63
футболу,62
розповідає,58
«карпат»,57
чемпіонів,57
чемпіонату,57
гол,54
змагання,50
уєфа,47
упл,46
чемпіонат,42
змагань,41
таймі,40
гравців,40
федерації,40
проведення,39
стадіону,39
ворота,39
матчу,38
фіналу,36
кубка,36
спортсменів,36
показати,34
перемогу,33
місце,33
категорії,33
турнір,30
рекорд,29
уаф,28
олімпійських,27
бій,27
турніру,26
результат,26
боксер,25
гімнастики,25
матчів,25
пенальті,24
дистанції,24
художньої,24
змаганнях,23
«кажани»,23
голи,23
забив,23
здобула,23
тренер,23
поєдинку,21
«барком-кажани»,21
лізі,21
ігри,21
медаль,21
культури,21
тренування,21
футболіст,21
команд,20
млн,20
молоді,20
м'яч,20
першої,19
львівський,19
удар,19
боксу,19
євро-2020,19
«руху»,18
перший,18
«галичанка»,18
виявили,17
потім,17
футболістів,17
український,17
німеччини,17
стадіон,17
чемпіонкою,17
очок,17
тенісу,17
учасник,16
команду,16
кубок,16
спортивних,16
росії,16
метрів,16
спортсменка,16
керівництво,15
covid-19,15
титул,15
«шахтаря»,15
іспанії,15
фіфа,15
гравець,15
стадіоні,15
фінал,15
вперше,15
жеребкування,14
група,14
футбольний,14
медалі,14
«срібло»,14
карате,14
висоту,14
тренера,14
перемогла,14
фіналі,13
клубі,13
турнірі,13
біатлону,13
«гірники»,12
здобув,12
футбол,12
«олександрія»,12
соловей,12
школи,12
разу,12
мало,12
глядачів,12
сайті,12
чоловік,12
галина,12
шахів,12
богдан,12
гру,12
бази,12
добре,12
міська,12
помер,12
польщі,12
видів,12
проводити,12
кількість,12
антон,12
фанати,12
the,12
управління,12
партії,12
українські,11
суперника,11
іграх,11
вийшов,11
етапу,11
велоспорту,11
клуби,11
власність,11
окрім,11
пфл,11
російських,11
разом,11
жінок,11
забити,11
подачі,11
стрільби,11
боротьби,11
спортивної,11
відбувся,11
хокею,11
поліції,11
савчин,11
моз,11
усика,11
клубів,11
просто,11
кошика,11
гри,11
президента,10
європейських,10
новий,10
туру,10
футбольні,10
оренду,10
еліна,10
етап,10
внічию,10
рахунок,10
рахунком,10
картку,10
чемпіон,10
капітан,10
спортсмен,10
арени,10
лмр,10
ігровий,10
зіграє,9
групового,9
футбольного,9
плей-офф,9
олімпійські,9
зіграв,9
завоював,9
сезону,9
катання,9
збірну,9
тренером,9
гран-прі,9
ліга,8
суперників,8
поєдинок,8
новіков,8
переміг,8
вболівальників,8
складі,8
стрільбі,8
кіберспорту,8
тренуваннях,8
заходів,8
харлан,8
перемоги,8
зозулі,8
золото,8
атлетики,8
гра,8
усик,8
зіграли,8
глядачами,8
«торпедо»,8
юніорів,8
нагороду,7
зимових,7
боксерської,7
чемпіонка,7
wbc,7
nba,7
баскетболу,7
корфбол,7
гандболу,7
завоювала,7
фігурного,7
гонка,7
наставник,7
фехтувальниця,7
нок,7
чемпіонати,7
варто,7
плавання,7
команді,7
багатоборстві,7
wbo,7
бігти,7
«спартак»,7
марафону,7
fitness,7
динамо,7
збірні,7
грати,6
тур,6
стартував,6
гравці,6
дзюдо,6
фбу,6
борець,6
воротар,6
скелелазіння,6
етапі,6
